id,Branch,gender,Category,articleType,baseColour,season,year,usage,Product DisplayName, Price,Sales,review_score
1,Ha Noi,women,Topwear,Shirts,Black,Fall,2022,Casual,Turtle Check Men Navy Blue Shirt,284,798,5
2,Ho Chi Minh City,men,Bottomwear,Jeans,Brown,Summer,2022,Casual,Peter England Men Party Blue Jeans,438,191,2
3,Ha Noi,women,Watches,Watches,Brown,Winter,2021,Casual,Titan Women Silver Watch,421,445,5
4,Ha Noi,men,Bottomwear,Track Pants,Silver,Fall,2020,Casual,Manchester United Men Solid Black Track Pants,459,80,2
5,Ho Chi Minh City,women,Topwear,Tshirts,Blue,Summer,2019,Casual,Puma Men Grey T-shirt,401,528,5
6,Ha Noi,women,Topwear,Tshirts,White,Summer,2021,Casual,Inkfruit Mens Chain Reaction T-shirt,208,465,5
7,Ha Noi,men,Topwear,Shirts,Purple,Summer,2018,Ethnic,Fabindia Men Striped Green Shirt,145,400,5
8,Kontum,men,Topwear,Shirts,Silver,Summer,2022,Casual,Jealous 21 Women Purple Shirt,338,588,5
9,Da Nang,women,Socks,Socks,Brown,Summer,2021,Casual,Puma Men Pack of 3 Socks,167,653,5
10,Da Nang,women,Watches,Watches,White,Winter,2022,Casual,Skagen Men Black Watch,428,636,5
11,Ho Chi Minh City,men,Shoes,Casual Shoes,Brown,Summer,2019,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,469,91,2
12,Ha Noi,men,Belts,Belts,Black,Summer,2019,Casual,Fossil Women Black Huarache Weave Belt,299,616,3
13,Ho Chi Minh City,women,Flip Flops,Flip Flops,Brown,Fall,2021,Casual,Fila Men Cush Flex Black Slippers,430,763,5
14,Ha Noi,women,Bags,Handbags,Purple,Summer,2018,Casual,Murcia Women Blue Handbag,244,467,1
15,Da Nang,men,Flip Flops,Flip Flops,Blue,Fall,2021,Casual,Ben 10 Boys Navy Blue Slippers,442,720,5
16,Ha Noi,men,Topwear,Shirts,Brown,Fall,2019,Formal,Reid & Taylor Men Check Purple Shirts,114,183,4
17,Ha Noi,men,Watches,Watches,Black,Winter,2020,Casual,Police Men Black Dial Watch PL12889JVSB,386,638,3
18,Ho Chi Minh City,men,Topwear,Tops,White,Summer,2022,Casual,Gini and Jony Girls Knit White Top,224,318,5
19,Ho Chi Minh City,women,Innerwear,Bra,Black,Summer,2022,Casual,Bwitch Beige Full-Coverage Bra BW335,163,746,5
20,Ho Chi Minh City,women,Bags,Handbags,Black,Summer,2018,Casual,Baggit Women Brown Handbag,475,648,1
21,Ha Noi,women,Watches,Watches,Silver,Winter,2021,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,154,453,1
22,Ho Chi Minh City,men,Sandal,Sandals,Purple,Fall,2018,Casual,ADIDAS Men Spry M Black Sandals,144,201,4
23,Ho Chi Minh City,women,Shoe Accessories,Shoe Accessories,Purple,Summer,2019,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,438,689,5
24,Ho Chi Minh City,women,Topwear,Sweatshirts,Brown,Fall,2019,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,100,120,2
25,Kontum,women,Fragrance,Deodorant,White,Spring,2019,Casual,David Beckham Signature Men Deos,246,769,5
26,Ha Noi,women,Shoes,Formal Shoes,Black,Winter,2018,Formal,Buckaroo Men Flores Black Formal Shoes,381,390,5
27,Ha Noi,men,Jewellery,Bracelet,Black,Winter,2021,Casual,Pitaraa Women Bronze Beaded Bracelet,476,263,2
28,Ha Noi,men,Topwear,Tshirts,Brown,Fall,2020,Sports,Fila Men's Round Neck Navy Blue T-shirt,458,485,5
29,Ha Noi,men,Lips,Lipstick,Black,Spring,2020,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,360,606,5
30,Ho Chi Minh City,men,Bags,Handbags,Blue,Winter,2019,Casual,Murcia Women Casual Brown Handbag,436,517,4
31,Ho Chi Minh City,women,Topwear,Shirts,Black,Summer,2019,Formal,John Players Men Navy Blue Shirt,300,761,2
32,Ha Noi,men,Topwear,Tshirts,Purple,Summer,2019,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,393,643,3
33,Da Nang,women,Topwear,Shirts,Silver,Summer,2018,Casual,John Players Men Brown Shirt,443,281,1
34,Ha Noi,women,Shoes,Casual Shoes,Black,Winter,2021,Casual,Gas Men Europa White Shoes,351,196,5
35,Ha Noi,women,Shoes,Flats,Silver,Winter,2021,Casual,Carlton London Women Black & Gold Toned Flats,236,430,4
36,Ho Chi Minh City,men,Topwear,Kurtas,Purple,Fall,2018,Ethnic,Diva Women Embroided Green Kurta,465,390,2
37,Da Nang,women,Bags,Handbags,Blue,Summer,2021,Casual,Rocky S Women White Handbag,497,415,5
38,Kontum,men,Bags,Handbags,Blue,Summer,2019,Casual,Kiara Women Teal Handbag,225,82,5
39,Ha Noi,men,Watches,Watches,Silver,Winter,2022,Casual,Fossil Women Copper Chronograph Watch CH2589,238,769,1
40,Ha Noi,men,Topwear,Tshirts,Purple,Summer,2019,Casual,Jealous 21 Women's Pink T-shirt,324,700,3
41,Da Nang,men,Belts,Belts,Brown,Fall,2019,Formal,Peter England Men Formal Black Belt,272,701,4
42,Kontum,men,Shoes,Flats,Blue,Winter,2019,Casual,Catwalk Women Leather Brown Flats,164,384,2
43,Ho Chi Minh City,men,Watches,Watches,Black,Winter,2018,Casual,Maxima Ssteele Men Off White Watch,286,459,2
44,Ho Chi Minh City,men,Topwear,Kurtas,Purple,Summer,2021,Ethnic,W Women Printed Beige Kurta,490,285,5
45,Ha Noi,women,Topwear,Waistcoat,Silver,Fall,2021,Casual,Scullers Men  Grey Waistcoat,449,381,2
46,Kontum,women,Shoes,Sports Shoes,Silver,Fall,2020,Sports,Nike Men's Incinerate MSL White Blue Shoe,398,418,1
47,Ho Chi Minh City,women,Bottomwear,Shorts,Silver,Summer,2019,Sports,Puma Men Long Logo Black Bermuda,405,118,1
48,Ha Noi,women,Innerwear,Briefs,Black,Winter,2018,Casual,Levis Men Boxer Maroon Brief,177,287,2
49,Da Nang,men,Topwear,Shirts,Brown,Fall,2021,Formal,John Miller Men Stripes White Red Shirts,134,779,5
50,Da Nang,men,Belts,Belts,Purple,Summer,2022,Casual,Baggit Women Hood Dabang Black Belt,245,634,5
51,Kontum,women,Watches,Watches,Silver,Winter,2021,Casual,Maxima Women White Dial Watch,471,508,1
52,Kontum,women,Shoes,Formal Shoes,Brown,Fall,2022,Formal,Clarks Men Hang Work Leather Black Formal Shoes,269,236,3
53,Da Nang,men,Topwear,Kurtas,White,Summer,2021,Ethnic,Vishudh Women Brown Kurta,339,477,4
54,Ha Noi,women,Innerwear,Briefs,Blue,Summer,2022,Casual,Playboy Men Blue Titanium Briefs,168,358,1
55,Kontum,men,Shoes,Formal Shoes,Blue,Summer,2021,Formal,Arrow Men Black Formal Shoes,155,280,5
56,Kontum,men,Topwear,Tshirts,White,Summer,2021,Casual,Puma Men's Stripe Polo Black T-shirt,391,697,4
57,Da Nang,men,Topwear,Tshirts,Blue,Summer,2021,Casual,Nike Women Purple Polo T-shirt,379,758,5
58,Ho Chi Minh City,men,Topwear,Shirts,Black,Summer,2019,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,433,86,4
59,Da Nang,women,Watches,Watches,Purple,Winter,2018,Casual,Carrera Men Dial steel finish strap Silver Watches,116,483,4
60,Ho Chi Minh City,men,Topwear,Tshirts,Brown,Fall,2018,Casual,Wrangler Men Motor Rider Red T-Shirts,308,160,4
61,Da Nang,women,Saree,Sarees,Black,Fall,2019,Ethnic,FNF Pink & Grey Wedding Collection Sari,146,428,1
62,Kontum,women,Topwear,Tshirts,Blue,Fall,2018,Casual,Puma Men Scribble Black Tshirts,187,755,5
63,Ha Noi,women,Watches,Watches,Silver,Winter,2021,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,398,421,5
64,Da Nang,women,Bags,Handbags,Black,Summer,2022,Casual,French Connection Women Beige Handbag,291,413,4
65,Ha Noi,men,Shoes,Casual Shoes,Purple,Fall,2018,Casual,Timberland Men Black Casual Shoes,257,392,5
66,Ho Chi Minh City,women,Shoes,Casual Shoes,Blue,Summer,2018,Casual,Vans Men Classic Slip-On Purple & Black Shoes,294,710,5
67,Da Nang,women,Fragrance,Perfume and Body Mist,Silver,Spring,2022,Casual,Police Women Passion Perfume,254,540,4
68,Ho Chi Minh City,men,Shoes,Sports Shoes,Black,Summer,2021,Sports,ADIDAS Men's Lowell White Silver Shoe,136,774,5
69,Da Nang,women,Bottomwear,Shorts,Brown,Summer,2022,Casual,Do U Speak Green Men Blue Shorts,314,728,1
70,Da Nang,men,Shoes,Casual Shoes,Blue,Fall,2021,Casual,ID Men Red Shoes,496,492,4
71,Da Nang,women,Bags,Handbags,Silver,Summer,2019,Casual,Peperone Women Black & White Handbag,289,325,1
72,Ho Chi Minh City,men,Shoes,Casual Shoes,White,Summer,2019,Casual,Vans Men Khaki Shoes,364,293,3
73,Ha Noi,women,Topwear,Shirts,Silver,Fall,2018,Casual,Indigo Nation Men Reversible Bling Pink Shirts,465,459,5
74,Ha Noi,women,Topwear,Tshirts,White,Fall,2020,Sports,Nike Women Black T-shirt,488,749,4
75,Ho Chi Minh City,men,Topwear,Sweatshirts,Silver,Fall,2019,Casual,ADIDAS Men Blue Sweatshirt,376,186,5
76,Kontum,women,Topwear,Tshirts,Purple,Fall,2021,Casual,Manchester United Men Solid Red Tshirt,378,681,3
77,Kontum,women,Shoes,Heels,Brown,Winter,2021,Casual,Rocia Women Black Flats,170,618,3
78,Ha Noi,women,Shoes,Heels,Blue,Winter,2021,Casual,Catwalk Women Leather Flats,464,344,1
79,Ho Chi Minh City,women,Topwear,Tops,Purple,Summer,2021,Casual,Mineral Women Green Top,238,675,2
80,Kontum,men,Sandal,Sandals,White,Fall,2020,Casual,Crocs Dora Boots Pink Sandals,220,677,3
81,Da Nang,men,Eyewear,Sunglasses,White,Winter,2020,Casual,Image Men Sunglasses,280,614,4
82,Da Nang,women,Flip Flops,Flip Flops,White,Fall,2018,Casual,Lotto Men XL Water Man Silver Slippers,461,771,3
83,Ha Noi,women,Topwear,Tshirts,Silver,Summer,2022,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,245,167,4
84,Da Nang,men,Innerwear,Innerwear Vests,White,Summer,2022,Casual,Levis Men Comfort Style Grey Innerwear Vest,214,120,5
